Company,First name,Last Name,Title,Street,Suburb,State,Postcode,Phone,Fax,Mobile,Email,Website
Universita Bar & Risotrante,Martin,BUCHHOLDT,,46 Lygon Street ,Carlton,VIC,3053,03 9347 2142,9347 0705,0418 186 104,Martin-cf54b@bendigotraders.org,www.delfinrealty.com.au
ESE Consulting,Hazel,TISCHLER,Senior Consultant,118 Hopetoun Street,Bendigo ,VIC,3550,03 5442 6676,5442 6636,0411 987 704,Hazel-0c8e0@bendigotraders.org,
People Potential Unlimited,Janice,ALLAN,Managing Principal,Po Box 1317,Bendigo ,VIC,3552,,,0407 685 601,Janice-90cab@bendigotraders.org,www.happylanding.com.au
Evans Shoes,Marianne,ROBIN,Manager,46-33 Williamson Street,Bendigo ,VIC,3550,03 5443 8128,5441 3573,,Marianne-7fb9f@bendigotraders.org,
View Street Café,Sara,BECKETT,,"Shop 4, 47-55 View Street",Bendigo ,VIC,3550,03 5442 4095,,,Sara-f71cf@bendigotraders.org,www.remingtondirect.com.au
TheFriars Café & Wine Bar,Christine,CRAINE,,37 Fryers Street,Shepparton ,VIC,3630,03 5822 2181,5831 7731,,Christine-b5229@bendigotraders.org,www.sgps.vic.edu.au
e+ architecture,Steven,FOGARTY,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Steven-2e108@bendigotraders.org,
Digital Warehouse,Julia,TRAMOUNDANAS,System Administrator,"Shop 3, 16 Creek Street North",Bendigo ,VIC,3550,03 5441 6390,5441 4134,0419 108 803,Julia-4c01b@bendigotraders.org,www.pwc.com/au
Wet Technologies,Cynthia,MARPER,National Sales Manager,208 Karinie Street,Swan Hill,VIC,3585,03 5033 1566,5033 1213,0400 580 431,Cynthia-da807@bendigotraders.org,www.idealloans.com.au
Spring Gully Primary School,Jessica,EVANS,Principal,Spring Gully Road,Bendigo ,VIC,3550,03 5443 7230,5441 5584,0448 422 171,Jessica-911cd@bendigotraders.org,www.grantready.com.au
Tick It Pacific Tours,Susannah,CAMERON,,109 Little Collins Street ,Melbourne,VIC,3000,03 9654 6155,9654 3858,,Susannah-a8354@bendigotraders.org,
The Epicurean,Gillian,CALDER,,31 Mitchell Street,Bendigo ,VIC,3550,03 5443 2699,,,Gillian-2e823@bendigotraders.org,
SCT Logistics,Sylvia,BOYLE,,223 Westlink Court,Altona,VIC,3018,03 9931 5333,9369 9747,0437 129 078,Sylvia-3c90b@bendigotraders.org,www.parbury.com.au
Lift Truck Services,Keith,McDOWALL,,34 Midland Hwy,Epsom,VIC,3551,03 5448 8802,,0412 621 212,Keith-958d1@bendigotraders.org,http://www.thrive-imagine.com
Bendigo Copy Centre,Carolyn,COSTIGAN,,Alans Walk,Bendigo ,VIC,3550,03 5442 4788,5441 7948,,Carolyn-7bbfa@bendigotraders.org,www.glenvill.com.au
SCT Logistics,Alexander,FRY,,178 Westlink Court,Altona,VIC,3018,03 9931 5333,9369 9747,0437 129 078,Alexander-5c785@bendigotraders.org,www.icnvic.org.au
Trevor Andrew Real Estate,Steve,BACK,Property Manager,127 Wills Street,Bendigo ,VIC,3550,03 5443 7088,5442 4440,0409 794 777,Steve-64d8c@bendigotraders.org,www.tick-it.com.au
Parbury,Janet,BONSER,Designer Rep,61 International Court,Scoresby,VIC,3179,03 9765 5222,9753 4080,0434 184 756,Janet-df7eb@bendigotraders.org,www.clivepeters.com.au
Hudsons Coffee,Jean,BONSER,Marketing Manager,Po Box 12477 A'Beckett Street,Melbourne,VIC,8006,03 9631 0207,9654 2431,,Jean-717ac@bendigotraders.org,www.cvgt.com.au
Happy Landing Marketing & Events,Rena,McGUINESS,Director,Po Box 68,Bendigo Central,VIC,3552,,,0419 114 573,Rena-120c9@bendigotraders.org,
Vivadas,Jim,NANKIVILLE,Account Director,97 High Street,Prahran,VIC,3181,03 9529 3533,9529 7823,0417 033 118,Jim-e27af@bendigotraders.org,www.cvgt.com.au
California Gully Primary School,Margaret,ELLERY,Principal,Staley Street,California Gully,VIC,3556,03 5446 8393,5446 3115,0429 963 406,Margaret-4976d@bendigotraders.org,www.anz.com
Australian Receivables Limited,Carolyn,McGRATH,Business Development Executive,Shop 4 Woodbury Court McIvor Road,Bendigo,VIC,3550,03 5441 3033,5480 1660,0488 311 983,Carolyn-42fbd@bendigotraders.org,
Delfin Realty - Edgewater,Owen,ROBINSON,Branch Manager,199-48 Edgewater Blvd,Maribyrnong,VIC,3032,03 8318 0203,9318 4685,0413 131 134,Owen-3a741@bendigotraders.org,
Impress Publicity,George,BAIL,,22 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0427 212 651,George-160e4@bendigotraders.org,www.growdata.com.au
Tyndall Accounting,Jennie,DOWIE,Director,76 Pall Mall,Bendigo ,VIC,3550,03 5442 7126,5442 9073,,Jennie-7c5fa@bendigotraders.org,www.glenvill.com.au
MEGT,Phoebe,BLACKMAN,Industry Employment Consultant,178st Floor 386 Hargreaves Street ,Bendigo ,VIC,3550,03 5442 8862,5443 8379,0427 236 895,Phoebe-8359c@bendigotraders.org,www.tadvic.asn.au
Australian Receivables Limited,Charlie,FRANCISCO,Business Development Executive,Shop 4 Woodbury Court McIvor Road,Bendigo,VIC,3550,03 5441 3033,5480 1660,0488 311 983,Charlie-c29ab@bendigotraders.org,
Delfin Realty - Edgewater,Donald,HERBERT,Branch Manager,157-48 Edgewater Blvd,Maribyrnong,VIC,3032,03 8318 0203,9318 4685,0413 131 134,Donald-65a53@bendigotraders.org,
Bendigo Spirit,Dawn,BOND,General Manager,Po Box 282,Eaglehawk,VIC,3556,03 5446 1595,5446 1595,0403 621 784,Dawn-e7f9f@bendigotraders.org,
Simonds Homes,Joshua,DEMASON,New Homes Advisor,Po Box 5022 ,Sandhurst East,VIC,3550,03 5443 3344,5442 9800,0414 488 508,Joshua-9cfd6@bendigotraders.org,
Victoria Finance,Mary,EARLE,General Manager,"Level One , 100 Dorcas Street",Melbourne,VIC,3004,1300 842 346,1300 842 329,0427 822 944,Mary-101d8@bendigotraders.org,www.thebridgebendigo.com.au
National Confectionery Wholesalers,Hayley,CORNISH,Sales & Marketing Co-Ordinator,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 220 957,Hayley-b10cc@bendigotraders.org,www.domainliving.com.au
Office 3564 Café & Wine Bar,Karl,BAKER,,163 Hare Street ,Echuca,VIC,3564,03 5482 3564,5480 0577,,Karl-48468@bendigotraders.org,www.macxarthyhomes.biz
The Bridge,Sheila,BAKER,Owner,175 Bridge Street,Bendigo ,VIC,3550,03 5443 7811,5442 7714,0438 232 467,Sheila-3e9ba@bendigotraders.org,www.anz.com
Ie Design,Marjory,BARTON,,,,,,,,0408 662 717,Marjory-1eb7d@bendigotraders.org,
Confucius Institute - University Of Melbourne,Tim,BURKE,Manager,7 Bouverie Street,Carlton,VIC,3053,03 9347 8462,9348 1067,,Tim-03e17@bendigotraders.org,
Bendigo Senior Secondary College,Phoebe,BAGSHAW,Principal,Po Box 545,Bendigo ,VIC,3552,03 5443 1222,5441 4548,0439 012 816,Phoebe-0c6c3@bendigotraders.org,
Impress Publicity,Alexander,BAIRD,,25 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0408 579 199,Alexander-347e7@bendigotraders.org,www.hildebrand.com.au
Artlive Media,Colin,DACOMB,Director,,,,,03 8647 2437,9650 8076,0400 157 988,Colin-ee1bd@bendigotraders.org,
ANZ,Jill,MacAULAY,Branch Manager,"Shop 20 , CS Square, 13/19 Lake Street",Caroline Springs,VIC,3023,03 8361 9060,9363 5014,,Jill-f1afb@bendigotraders.org,www.cvgt.com.au
Radiation Oncology Victoria,Suzie,POWER,Chief Exectutive Officer,Head Office: 132 Grey Street,East Melbourne,VIC,3002,03 9418 2200,9418 2288,0417 887 791,Suzie-16173@bendigotraders.org,
Tyndall Accounting,Suzanne,CARVELL,Director,154 Pall Mall,Bendigo ,VIC,3550,03 5442 7126,5442 9073,,Suzanne-7b4fa@bendigotraders.org,
Domain Living,Greta,BROWN,,52-138 High Street ,Bendigo ,VIC,3550,03 5443 3000,5441 3220,,Greta-fa131@bendigotraders.org,
Direct Focus Consulting,Michael,FORREST,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Michael-15607@bendigotraders.org,
ANZ,Teresa,BULPIN,Branch Manager,175 Evans Street ,Sunbury,VIC,3429,03 9140 5471,9740 9542,0409 182 497,Teresa-2bac2@bendigotraders.org,www.bendigomcivormotorinn.com.au
Financial Index Australia,Alexander,BAKER,Representative,142 Hargreaves Street,Bendigo,VIC,3550,03 5441 3255,5441 3452,0438 783 836,Alexander-f1dda@bendigotraders.org,www.ausindustry.gov.au
Glenvill,Lewis,ELPHINSTONE,CEO,97 Malvern Road,Prahran,VIC,3181,03 9529 1111,9529 1311,0412 314 497,Lewis-55fa3@bendigotraders.org,www.goodone.com.au
Delfin Realty - Edgewater,Alison,BACKCOLLER,Branch Manager,190-48 Edgewater Blvd,Maribyrnong,VIC,3032,03 8318 0203,9318 4685,0413 131 134,Alison-bcea7@bendigotraders.org,www.ljhooker.com
QDT,Kerrylyn,BAKER,,142 Spring Gully Road,Bendigo,VIC,3550,03 5443 9605,03 5441 6902,0408 053 990,Kerrylyn-6e063@bendigotraders.org,www.bendigotelco.com.au
Spring Gully Primary School,Samantha,EDWARDS,Principal,Spring Gully Road,Bendigo ,VIC,3550,03 5443 7230,5441 5584,0448 422 171,Samantha-08408@bendigotraders.org,www.cvgt.com.au
Calder Regional Waste Management ,Susan,OCHTMAN,Executive Officer,Po Box 303 ,Woodend,VIC,3442,03 5427 3479,,0438 771 757,Susan-49e6a@bendigotraders.org,www.evansshoes.com.au
Kids Town,Judy,SYMES,Playground Coordinator,Locked Bag 1000,Shepparton ,VIC,3632,03 5831 4213,5821 2172,0407 042 438,Judy-bfb14@bendigotraders.org,
TADVIC,Lizzie,HARDING,Chief Exectutive Officer,199 Yarra Boulevard,Kew,VIC,3101,03 9853 8655,9853 8098,,Lizzie-e7892@bendigotraders.org,www.commbank.com.au
I Do  I Do Creations,Elisa,GLADWELL,"Events, Advertising, Marketing Director ",Po Box 2573,Bendigo ,VIC,3554,03 5444 2797,,0439 205 406,Elisa-f58d2@bendigotraders.org,www.kidstown.org.au
Loddon Mallee Housing Services,Carrie,GALL,Transitional Housing Worker,118-30 View Street,Bendigo ,VIC,3550,03 5444 9005, ,0409 852 293,Carrie-b3758@bendigotraders.org,
Shed 7 Hair For Men,Catherine,ABBETT,,214 View Street,Bendigo ,VIC,3550,03 5441 4277,,,Catherine-d68dd@bendigotraders.org,www.cvgt.com.au
CVGT ,Queenie,KINGS,Project Manager,190 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5441 7439,0400 090 630 ,Queenie-1fb9d@bendigotraders.org,www.yesonline.com.au
Comfort Inn Julie-Anna,William,EDDY,,100 Napier Street,Bendigo ,VIC,3550,03 5442 5855,5441 6032,,William-c2e8b@bendigotraders.org,
Silk Day Spa,Ruth,ARUNDEL,Owner,160-58 McIvor Road,Bendigo ,VIC,3550,03 5444 5554,03 5444 5552,0488 137 692,Ruth-894d9@bendigotraders.org,
CVGT ,Beatrice,SCANLAN,General Manager,Jackson Street,Long Gully,VIC,3550,03 5449 2000,5441 1212,0417 357 663,Beatrice-e1fe0@bendigotraders.org,www.tick-it.com.au
OPSM Bendigo,William,KIDD,Optometrist & Contact Lense Specialist,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,William-e259f@bendigotraders.org,www.iedesign.com.au
Bendigo Trainging Academy,Joan,FLEMING,,214 High Street ,Bendigo ,VIC,3550,03 5444 1876,5441 6727,0409 947 129,Joan-4061d@bendigotraders.org,
Price Waterhouse Coopers,Kylie,ADAMS,Partner,Freshwater Place 2 Shouthbank blvd,Southbank,VIC,3006,03 8603 6461,8613 2893,0419 594 041,Kylie-b6b5c@bendigotraders.org,www.kidstown.org.au
Calder Regional Waste Management ,Carolyn,SNOW,Executive Officer,Po Box 303 ,Woodend,VIC,3442,03 5427 3479,,0438 771 757,Carolyn-c3bdb@bendigotraders.org,
Comfort Inn Julie-Anna,Sarah,RICHARDSON,,43 Napier Street,Bendigo ,VIC,3550,03 5442 5855,5441 6032,,Sarah-558b9@bendigotraders.org,
PH Property,Gigi,BROWNE,Director,139 Mitchell Street,Bendigo ,VIC,3550,03 5454 1999,5454 1998,0412 519 998,Gigi-47bd2@bendigotraders.org,
Direct Focus Consulting,Tom,BARLOW,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Tom-f8d3e@bendigotraders.org,
Delfin Realty,Colin,NORTH,Sales Consultant,67-8 Lake Street ,Caroline Springs,VIC,3023,03 9361 6228,9360 5021,0410 415 423,Colin-d9ed5@bendigotraders.org,www.epicureandeli.com.au
Bendigo Community Telco,Casey,BAIRD,Technical Manager,Po Box 1062,Bendigo,VIC,3552,03 5454 5009,5454 1509,0428 366 123,Casey-e3c5b@bendigotraders.org,www.icnvic.org.au
ANZ,Alexandra,BARR,Branch Manager,"Shop 20 , CS Square, 13/19 Lake Street",Caroline Springs,VIC,3023,03 8361 9060,9363 5014,,Alexandra-e8ef6@bendigotraders.org,www.tick-it.com.au
Artlive Media,Tracey,WALLACE,Director,,,,,03 8647 2437,9650 8076,0400 157 988,Tracey-af5a9@bendigotraders.org,
City of Greater Bendigo,Shirley,STAINTHORPE,Industry/Business Development Officer,130 Lyttleton Terrace,Bendigo ,VIC,3552,03 5434 6197,5434 6267,0419 162 003,Shirley-2e4b4@bendigotraders.org,
People Potential Unlimited,Kevin,Cannon ,Managing Principal,Po Box 1317,Bendigo ,VIC,3552,,,0407 685 601,Kevin-66803@bendigotraders.org,www.pwc.com/au
Kids Town,Kay,GENTLE,Playground Coordinator,Locked Bag 1000,Shepparton ,VIC,3632,03 5831 4213,5821 2172,0407 042 438,Kay-4c5d0@bendigotraders.org,www.advancelandscapeandleisure.com.au
TADVIC,Meryl,GUTHRIE,Chief Exectutive Officer,22 Yarra Boulevard,Kew,VIC,3101,03 9853 8655,9853 8098,,Meryl-a85f3@bendigotraders.org,www.hudsonscoffee.com.au
Blue Illusion Bendigo,Mark,ADAMS,Marketing Manager,217 Williamson Street ,Bendigo ,VIC,3550,03 5441 5415,,,Mark-57689@bendigotraders.org,www.fresh2u.com.au
Remington Direct,Christine,PEMBER,Managing Director,184 Mair Street ,Ballarat,VIC,3350,03 5332 9077,5332 1933,0408 147 950,Christine-ed833@bendigotraders.org,
Bloom n Gifts,Conrad,EGGLESTON,Owners,67 High Street,Golden Square,VIC,3555,03 5442 2112,5442 2326,,Conrad-f3401@bendigotraders.org,www.ncw.com.au
Hogan's Accountants & Advisors,Keith,AITKEN,,190 St.Georges Road,North Fitzroy,VIC,3068,03 9481 7473,9482 4141,0413 584 700,Keith-856ef@bendigotraders.org,
Ezy Systems,Robert,PTOLOMEY,Director,19a Hopetoun Street,Bendigo ,VIC,3550,03 5441 2044,5442 3132,0417 334 206,Robert-23fa4@bendigotraders.org,
Impress Publicity,Katie,BROWNE,,214 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0400 644 637,Katie-0f34e@bendigotraders.org,www.eseconsulting.com.au
Confucius Institute - University Of Melbourne,Joyce,BAKER,Manager,145 Bouverie Street,Carlton,VIC,3053,03 9347 8462,9348 1067,,Joyce-18f66@bendigotraders.org,www.fightingspirit.com.au
Bendigo Bank,Jean,BAGSHAW,Business Banking Officer,85 Hargreaves Street,Bendigo,VIC,3550,03 5433 9090,5433 9588,0413 124 629,Jean-846e3@bendigotraders.org,www.vea.com.au
Bendigo Cinema,Helen,BARNARD,Cinema Advertising,121 Queen Street,Bendigo ,VIC,3550,03 5442 5346 or 5442 1666,5442 9079,,Helen-4d6da@bendigotraders.org,www.pallitivecareloddonmallee.org
e+ architecture,Isabel,PIGGOTT,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,0408 129 440,Isabel-7f6d5@bendigotraders.org,
Forrest Computing,Susan,PETERSON,Workshop Manager,Midland Hwy,Epsom,VIC,,03 5448 4934,5448 4938,0418 507 959,Susan-6955e@bendigotraders.org,www.bensonsproperty.com.au
Central - Vic.Ag,Simon,BOND,,Po Box 110 ,Bridgewater,VIC,3516,,5442 8089,0427 328 534,Simon-b2102@bendigotraders.org,www.idoidocreations.com.au
e+ architecture,Ben,GOLDWYER,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Ben-8a5d9@bendigotraders.org,www.silkdayspa.com.au
Commonwealth Bank,Maggie,HEADLAND,Relationship Executive,190 King Street,Bendigo ,VIC,3550,03 5440 2669,5440 2659,0429 144 628,Maggie-a1491@bendigotraders.org,
Bendigo Community Telco,Phillip,STOUT,Technical Manager,Po Box 1062,Bendigo,VIC,3552,03 5454 5009,5454 1509,0428 366 123,Phillip-8d89e@bendigotraders.org,www.bendigotelco.com.au
Bensons Property Group,Joanne,BALLACHEY,Senior Development Manager,Level 1 461 Bourke Street,Melbourne,VIC,3000,+613 8602 0800,+613 8602 0888,0400 230 744,Joanne-c13c0@bendigotraders.org,www.bssc.edu.au
Grow Data,Don,OVERHEU,Director,Box 6624,Shepparton ,VIC,3632,03 5831 1711,,0409 121 146,Don-8df95@bendigotraders.org,
Bendigo Community Telco,Miles,BLAKE,Chief Exectutive Officer,40 McLaren Street ,Bendigo ,VIC,3550,03 5454 5000,5454 1554,0400 545 000,Miles-af7bb@bendigotraders.org,www.bendigoit.com.au
Tourism -Shepparton Council,Murray,BECKETT,Manager ,Locked Bag 1000,Shepparton ,VIC,3632,03 5832 9849,5831 1987,0400 650 817,Murray-c5485@bendigotraders.org,www.birchrove.net.au
DRP Architechts (Well Springs Day Spa),Katrina,SPANSWICK,Senior Interior Designer,No1 York Place ,Prahran,VIC,3181,03 9521 3414,9521 3644,0414 503 344,Katrina-f7d93@bendigotraders.org,www.thematch.com.au
e+ architecture,Bruce,JERRATT,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Bruce-76b6f@bendigotraders.org,www.delfinrealty.com.au
Bendigo Bank,Frank,PEDERSEN,Public Relations Officer,,,,,03 5485 7111,5485 7635,0407 882 474,Frank-fb8ae@bendigotraders.org,www.bloomngifts.com.au
SITA Environmental Solutions,Susie,BAKER,Branch Manager,100-19 Stonepark Road,Ballarat,VIC,3350,03 5336 2733,5336 2871,0412 553 229 ,Susie-c3d20@bendigotraders.org,
Ideal Loans,Jessica,BLACK,MIAA Member,Suite A 40 Strickland Road ,Bendigo ,VIC,3550,,5444 0798,0408 601 640,Jessica-22cb9@bendigotraders.org,
Glenvill,Jackie,TOMNEY,CEO,85 Malvern Road,Prahran,VIC,3181,03 9529 1111,9529 1311,0412 314 497,Jackie-2db55@bendigotraders.org,www.australianreceivables.com.au
Evans Shoes,Jack,BRUCE,Manager,226-33 Williamson Street,Bendigo ,VIC,3550,03 5443 8128,5441 3573,,Jack-fd440@bendigotraders.org,
Stephen Malone Pahotography,Arthur,M,Owner,61 Marks Street,Bendigo ,VIC,3550,03 5441 3812,,0417 036 369,Arthur-8b249@bendigotraders.org,
CVGT ,Naomi,ANDREWS,Project Manager,175 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5441 7439,0400 090 630 ,Naomi-d34ec@bendigotraders.org,www.bendigotelco.com.au
Calder Regional Waste Management ,Shirley,MACDONALD,Executive Officer,Po Box 303 ,Woodend,VIC,3442,03 5427 3479,,0438 771 757,Shirley-a917d@bendigotraders.org,www.thooft.com.au
Simonds Homes,Patrick,BENNETTS,Regional Manager,Po Box 5022,Sandhurst East,VIC,3550,03 5445 1506,5442 9800,0400 794 212,Patrick-9664b@bendigotraders.org,
TADVIC,Maggie,BINGHAM,Chief Exectutive Officer,61 Yarra Boulevard,Kew,VIC,3101,03 9853 8655,9853 8098,,Maggie-4909f@bendigotraders.org,www.cafeaulait.com.au
Industry Capability Network,Kaye,McGUIRE,Regional Manager,49 Edwards Street,Bendigo ,VIC,3550,03 5441 8611,5442 5452,0407 182 952,Kaye-ca429@bendigotraders.org,www.grantready.com.au
View Street Café,Eve,HUNTER,,"Shop 4, 47-55 View Street",Bendigo ,VIC,3550,03 5442 4095,,,Eve-44b44@bendigotraders.org,www.sctlogistics.com.au
MFR Connections,George,HAWKER,Doctor,,,,,03 5439 5633,,0407 441 523,George-1aca7@bendigotraders.org,www.aigroup.asn.au
Bendigo Community Telco,Elizabeth,BLACK,Sales Manager,Po Box 1062,Bendigo ,VIC,3552,03 5454 5010,5454 1510,0428 366 005,Elizabeth-c0407@bendigotraders.org,www.clivepeters.com.au
The Petal Factory,Marianne,ANDERSON,,55 Bridge Street,Bendigo ,VIC,3550,03 5443 5519,5442 3648,,Marianne-ceac3@bendigotraders.org,www.aigroup.asn.au
Commonwealth Bank,Samuel,WHISKIN,Relationship Executive,7 King Street,Bendigo ,VIC,3550,03 5440 2669,5440 2659,0429 144 628,Samuel-68557@bendigotraders.org,www.happylanding.com.au
Café Au Lait,Matthias,BLACKMAN,,136 Mitchell Street,Bendigo ,VIC,3550,03 5443 5126 or 5443 9956,5442 9122,,Matthias-21978@bendigotraders.org,www.happylanding.com.au
Swan Hill Rural City Council,Bob,GIBBS,Marketing Officer,Cnr McCreae & Curlewis Streets,Swan Hill,VIC,3585,03 5032 3033,5032 3032,0419 032 154,Bob-ed89a@bendigotraders.org,
Hildebrand Australia,Stewart,BENNETT,Managing Director,,,,,,,0412 462 865,Stewart-23973@bendigotraders.org,www.itben.com.au
Bendigo Community Telco,Keith,DONOVAN,Chief Exectutive Officer,40 McLaren Street ,Bendigo ,VIC,3550,03 5454 5000,5454 1554,0400 545 000,Keith-c48ff@bendigotraders.org,www.ljhooker.com
Bendigo Trainging Academy,Christopher,AUSTIN,,169 High Street ,Bendigo ,VIC,3550,03 5444 1876,5441 6727,0409 947 129,Christopher-04302@bendigotraders.org,www.confuciusinstitute.unimelb.edu.au
Silk Day Spa,Timothy,MULCLEARY,Owner,34-58 McIvor Road,Bendigo ,VIC,3550,03 5444 5554,03 5444 5552,0488 137 692,Timothy-d3ff7@bendigotraders.org,www.trevorandrew.com.au
Xerox Business Centre,Christine,GRANT,,,,,,03 5441 5100,5443 5053,0448 010 587,Christine-d1290@bendigotraders.org,www.homebuildingsystem.com.au
Commonwealth Bank,Don,BECHWITH,Relationship Manager,43 King Street,Bendigo ,VIC,3550,03 5440 2663,5440 2659,,Don-7deaf@bendigotraders.org,
Bendigo Bank,Sam,O,Public Relations Officer,,,,,03 5485 7111,5485 7635,0407 882 474,Sam-1429d@bendigotraders.org,
Economic Development Department Shepparton Council,Benjamin,SOUNNESS,Manager ,Locked Bag 1000,Shepparton ,VIC,3632,03 5832 9846,5831 1987,0417 337 623,Benjamin-ac139@bendigotraders.org,www.kidstown.org.au
Bendigo Community Telco,Judith,DRAGE,Chief Exectutive Officer,175 McLaren Street ,Bendigo ,VIC,3550,03 5454 5000,5454 1554,0400 545 000,Judith-3fff8@bendigotraders.org,www.idawfast.com
e+ architecture,Annette,ANDREWS,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Annette-85661@bendigotraders.org,www.vea.com.au
L.J Hooker,Corinna,Hull ,Sales Consultant,40 High Street,Kyneton,VIC,3444,03 5422 2127,5422 1804,0408 571 485,Corinna-650be@bendigotraders.org,www.idawfast.com
Wellsprings Day Spa,David,DIMOND,Managing Director,217 Welsford Street,Shepparton ,VIC,3630,03 5831 4606,5831 46957,,David-16d88@bendigotraders.org,www.silkdayspa.com.au
Mortgage Explorers,Jimmy,BLACKMAN,,121 Napier Street,Essendon,VIC,3040,03 9375 1009,9370 5290,0417 314 989,Jimmy-92a55@bendigotraders.org,
Stephen Malone Pahotography,William,KURJATA,Owner,193 Marks Street,Bendigo ,VIC,3550,03 5441 3812,,0417 036 369,William-c123d@bendigotraders.org,www.homebuildingsystem.com.au
e+ architecture,Madeline,ANDREWS,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,0408 129 440,Madeline-bff74@bendigotraders.org,www.idealloans.com.au
Industry Capability Network,Nicola,BISHOP,Regional Manager,211 Edwards Street,Bendigo ,VIC,3550,03 5441 8611,5442 5452,0407 182 952,Nicola-1bfa0@bendigotraders.org,www.victoriafinance.com.au
National Confectionery Wholesalers,Zoe,D,Sales & Marketing Co-Ordinator,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 220 957,Zoe-e900a@bendigotraders.org,www.happylanding.com.au
Economic Development Unit - Bendigo Council,Marie,BUCKLEY,Project Officer,217 Lyttleton Terrace,Bendigo,VIC,3552,03 5434 6236,5434 6205,,Marie-89558@bendigotraders.org,www.thebridgebendigo.com.au
MEGT,Greville,WHIFFEN,Industry Employment Consultant,1st Floor 386 Hargreaves Street ,Bendigo ,VIC,3550,03 5442 8862,5443 8379,0427 236 895,Greville-da493@bendigotraders.org,
OPSM Bendigo,Cathleen,PICKETT,Optometrist & Contact Lense Specialist,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,Cathleen-57df9@bendigotraders.org,www.floate.com.au
Hudsons Coffee,David,BARTHOLOMEW,Marketing Manager,Po Box 12477 A'Beckett Street,Melbourne,VIC,8006,03 9631 0207,9654 2431,,David-094ec@bendigotraders.org,
Tourism -Shepparton Council,Ursula,CHAMBERS,Manager ,Locked Bag 1000,Shepparton ,VIC,3632,03 5832 9849,5831 1987,0400 650 817,Ursula-efefa@bendigotraders.org,www.floate.com.au
Telstra Country Wide,Tim,TWOMEY,Business Solutions Manager,,,,,1800 630 052,8601 3198,,Tim-86dd5@bendigotraders.org,www.cvgt.com.au
Bendigo Health,Carolyn,BOLT,Project Officer,Po Box 126,Bendigo ,VIC,3552,03 5454 6412,5454 6420,,Carolyn-9a90a@bendigotraders.org,www.artlivemedia.com
Simonds Homes,Frank,Hetherington/Hetherinton ,Regional Manager,Po Box 5022,Sandhurst East,VIC,3550,03 5445 1506,5442 9800,0400 794 212,Frank-a98fe@bendigotraders.org,http://www.thrive-imagine.com
Bendigo Community Telco,Ruth,PRIEST,Technical Manager,Po Box 1062,Bendigo,VIC,3552,03 5454 5009,5454 1509,0428 366 123,Ruth-e33f5@bendigotraders.org,www.floate.com.au
Artlive Media,Derek,SAYCE,Director,,,,,03 8647 2437,9650 8076,0400 157 988,Derek-39a3d@bendigotraders.org,
MacroPlan Australia,Linda,BURKE,Associate Director,Level 4 356 Collins Street,Melbourne,VIC,3000,03 9600 0500,,0402 325 290,Linda-66145@bendigotraders.org,www.bendig.vic.gov.au
Commonwealth Bank,Paulette,SHERWOOD,Customer Service Speacialist,109 Hargreaves Mall,Bendigo,VIC,3550,03 5440 2100,5440 2142,,Paulette-906ee@bendigotraders.org,
Home Building System,Julia,BROWN,National Business Development Manager,Po Box 6850 St.Kilda Road,Melbourne,VIC,8008,1300 733 730,1300 557 486,,Julia-01354@bendigotraders.org,www.idawfast.com
OPSM,Sarah,BLACKMAN,,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,Sarah-f1976@bendigotraders.org,
Telstra Shop,Michael,GARDENNE,Business Sales Consultant,Level 13/35 Collins Street ,Melbourne,VIC,3000,03 9638 4419,8601 3192,0427 906 936,Michael-0b00c@bendigotraders.org,www.itben.com.au
TheFriars Café & Wine Bar,Avis,BROOKS,,31 Fryers Street,Shepparton ,VIC,3630,03 5822 2181,5831 7731,,Avis-8efec@bendigotraders.org,www.lisanankervis.com
